kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Lampung Selatan;2018;Kacang Tamnah;170.3118986;120.5;14.13376752;
Lampung Selatan;2018;Kedelai;17358.65476;13076.4;13.2747964;
Lampung Selatan;2018;Padi;268374.79;48729.28;55.07464711;
Lampung Selatan;2018;Padi Ladang;0;0;0;
Lampung Selatan;2018;Padi Sawah;0;0;0;
Lampung Selatan;2018;Ubijalar;2202.644318;100.6;218.9507274;
Lampung Selatan;2018;Ubikayu / Ketela Pohon;99677.19497;4250.8;234.490437;
Lampung Selatan;2019;Jagung;0;0;0;
Lampung Selatan;2019;Kacang Hijau;79.8166;82.2;9.710048662;
Lampung Selatan;2019;Kacang Tamnah;200.9215469;247.5;8.118042298;
Lampung Selatan;2019;Kedelai;3307;2513.5;13.15695246;
Lampung Selatan;2019;Padi;265878.24;44070.05;60.33082331;
Lampung Selatan;2019;Padi Ladang;0;0;0;
Lampung Selatan;2019;Padi Sawah;0;0;0;
Lampung Selatan;2019;Ubijalar;1900.275904;96.8;196.3094942;
Lampung Selatan;2019;Ubikayu / Ketela Pohon;107031.1985;4342;246.5020694;
Lampung Selatan;2020;Jagung;0;0;0;
Lampung Selatan;2020;Kacang Hijau;62;66.6;9.309309309;
Lampung Selatan;2020;Kacang Tamnah;370.285932;256.5;14.43609871;
Lampung Selatan;2020;Kedelai;9.726178528;6;16.21029755;
Lampung Selatan;2020;Padi;311668.77;54761.95;56.91338055;
Lampung Selatan;2020;Padi Ladang;0;0;0;
Lampung Selatan;2020;Padi Sawah;0;0;0;
Lampung Selatan;2020;Ubijalar;1040.474079;66.7;155.9931153;
Lampung Selatan;2020;Ubikayu / Ketela Pohon;96294.87971;3618;266.155002;
Lampung Selatan;2021;Jagung;0;0;0;
Lampung Selatan;2021;Kacang Hijau;39;38.9;10.02570694;
Lampung Selatan;2021;Kacang Tamnah;208.6983282;166.8;12.51189018;
Lampung Selatan;2021;Kedelai;3.088133272;2;15.44066636;
Lampung Selatan;2021;Padi;330325.73;51178.22;64.54420064;
Lampung Selatan;2021;Padi Ladang;0;0;0;
Lampung Selatan;2021;Padi Sawah;0;0;0;
Lampung Selatan;2021;Ubijalar;1660.235577;86.9;191.0512747;
Lampung Selatan;2021;Ubikayu / Ketela Pohon;86325.2466;2863;301.5202466;
Lampung Selatan;2022;Jagung;0;0;0;
