komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Cabai Rawit Merah,26/01/2018,""42,500"""
"Minyak Goreng,26/01/2018,""13,150"""
"Gula Pasir,26/01/2018,""12,750"""
"Beras,29/01/2018,""12,400"""
"Daging Ayam,29/01/2018,""30,650"""
"Daging Sapi,29/01/2018,""110,000"""
"Telur Ayam,29/01/2018,""20,450"""
"Bawang Merah,29/01/2018,""17,250"""
"Bawang Putih,29/01/2018,""20,250"""
"Cabai Merah Besar,29/01/2018,""43,750"""
"Cabai Merah Keriting,29/01/2018,""36,000"""
"Cabai Rawit Hijau,29/01/2018,""40,900"""
"Cabai Rawit Merah,29/01/2018,""39,250"""
"Minyak Goreng,29/01/2018,""13,150"""
"Gula Pasir,29/01/2018,""12,700"""
"Beras,30/01/2018,""12,400"""
"Daging Ayam,30/01/2018,""30,500"""
"Daging Sapi,30/01/2018,""110,000"""
"Telur Ayam,30/01/2018,""20,450"""
"Bawang Merah,30/01/2018,""17,250"""
"Bawang Putih,30/01/2018,""20,250"""
"Cabai Merah Besar,30/01/2018,""43,150"""
"Cabai Merah Keriting,30/01/2018,""36,400"""
"Cabai Rawit Hijau,30/01/2018,""40,150"""
"Cabai Rawit Merah,30/01/2018,""39,900"""
"Minyak Goreng,30/01/2018,""13,150"""
"Gula Pasir,30/01/2018,""12,700"""
"Beras,31/01/2018,""12,400"""
"Daging Ayam,31/01/2018,""30,500"""
"Daging Sapi,31/01/2018,""110,000"""
"Telur Ayam,31/01/2018,""20,400"""
"Bawang Merah,31/01/2018,""17,250"""
"Bawang Putih,31/01/2018,""20,250"""
"Cabai Merah Besar,31/01/2018,""43,650"""
"Cabai Merah Keriting,31/01/2018,""37,250"""
"Cabai Rawit Hijau,31/01/2018,""40,400"""
"Cabai Rawit Merah,31/01/2018,""39,500"""
"Minyak Goreng,31/01/2018,""13,150"""
"Gula Pasir,31/01/2018,""12,700"""
"Beras,01/02/2018,""12,400"""
"Daging Ayam,01/02/2018,""30,500"""
"Daging Sapi,01/02/2018,""110,000"""
"Telur Ayam,01/02/2018,""20,400"""
"Bawang Merah,01/02/2018,""17,900"""
"Bawang Putih,01/02/2018,""20,500"""
"Cabai Merah Besar,01/02/2018,""43,150"""
"Cabai Merah Keriting,01/02/2018,""36,250"""
"Cabai Rawit Hijau,01/02/2018,""39,900"""
"Cabai Rawit Merah,01/02/2018,""38,900"""
"Minyak Goreng,01/02/2018,""13,150"""
"Gula Pasir,01/02/2018,""12,700"""
"Beras,02/02/2018,""12,400"""
"Daging Ayam,02/02/2018,""30,500"""
"Daging Sapi,02/02/2018,""110,000"""
"Telur Ayam,02/02/2018,""20,400"""
"Bawang Merah,02/02/2018,""18,000"""
"Bawang Putih,02/02/2018,""20,650"""
"Cabai Merah Besar,02/02/2018,""42,000"""
"Cabai Merah Keriting,02/02/2018,""34,500"""
"Cabai Rawit Hijau,02/02/2018,""38,650"""
"Cabai Rawit Merah,02/02/2018,""38,650"""
"Minyak Goreng,02/02/2018,""13,150"""
"Gula Pasir,02/02/2018,""12,700"""
"Beras,05/02/2018,""12,300"""
"Daging Ayam,05/02/2018,""30,000"""
"Daging Sapi,05/02/2018,""110,000"""
