Tahun;Kode Wilayah;Kabupaten_Kota;Kelompok Bahan;Komoditas;Konsumsi Pangan
2023;1803;Lampung Utara;Kacang-kacangan;Kedelai;8,16
2023;1803;Lampung Utara;Kacang-kacangan;Kacang tanah;0,25
2023;1803;Lampung Utara;Kacang-kacangan;Kacang hijau;0,11
2023;1803;Lampung Utara;Kacang-kacangan;kacang lain;0,06
2023;1803;Lampung Utara;Gula;Gula;7,97
2023;1803;Lampung Utara;Gula;Gula Pasir;7,38
2023;1803;Lampung Utara;Gula;Gula Merah;0,59
2023;1803;Lampung Utara;Sayur dan Buah;Sayur dan Buah;91,84
2023;1803;Lampung Utara;Sayur dan Buah;Sayur;62,25
2023;1803;Lampung Utara;Sayur dan Buah;Buah;29,59
2023;1808;Way Kawan;Padi-Padian;Padi-Padian;115,94
2023;1808;Way Kawan;Padi-Padian;Beras;98,27
2023;1808;Way Kawan;Padi-Padian;Jagung;0,75
2023;1808;Way Kawan;Padi-Padian;Terigu;16,92
2023;1808;Way Kawan;Umbi-umbian;Umbi-umbian;15,53
2023;1808;Way Kawan;Umbi-umbian;Singkong;9,83
2023;1808;Way Kawan;Umbi-umbian;Ubi Jalar;3,91
2023;1808;Way Kawan;Umbi-umbian;kentang;1,40
2023;1808;Way Kawan;Umbi-umbian;Sagu;0,01
2023;1808;Way Kawan;Umbi-umbian;Umbi lainnya;0,38
2023;1808;Way Kawan;Pangan Hewani;Pangan Hewani;43,14
2023;1808;Way Kawan;Pangan Hewani;Daging Ruminansia;3,97
2023;1808;Way Kawan;Pangan Hewani;Daging Unggas;7,46
2023;1808;Way Kawan;Pangan Hewani;Telur;7,25
2023;1808;Way Kawan;Pangan Hewani;Susu;2,04
2023;1808;Way Kawan;Pangan Hewani;Ikan ;22,42
2023;1808;Way Kawan;Minyak dan Lemak;Minyak dan Lemak;11,23
2023;1808;Way Kawan;Minyak dan Lemak;Minyak Kelapa;0,01
2023;1808;Way Kawan;Minyak dan Lemak;Minyak sawit;11,09
2023;1808;Way Kawan;Minyak dan Lemak;Minyak lainnya;0,13
2023;1808;Way Kawan;Buah/Biji Berminyak;Buah/Biji Berminyak;2,35
2023;1808;Way Kawan;Buah/Biji Berminyak;Kelapa;2,24
2023;1808;Way Kawan;Buah/Biji Berminyak;Kemiri;0,11
2023;1808;Way Kawan;Kacang-kacangan;Kacang-kacangan;7,9
2023;1808;Way Kawan;Kacang-kacangan;Kedelai;7,46
2023;1808;Way Kawan;Kacang-kacangan;Kacang tanah;0,11
2023;1808;Way Kawan;Kacang-kacangan;Kacang hijau;0,23
2023;1808;Way Kawan;Kacang-kacangan;kacang lain;0,10
2023;1808;Way Kawan;Gula;Gula;8,9
